CustomerID,Recency,Frequency,Monetary,Log_Frequency,Log_Monetary,Cluster,Segment,Cluster_Optimized,HC_Cluster
12346,326,1,203.52,0.6931471805599453,5.320665770211798,2,At-Risk,2,2
12347,2,7,4263.92,2.0794415416798357,8.358178702422778,3,High-Value,3,1
12348,75,4,1760.76,1.6094379124341003,7.474068588365281,1,Regular,1,0
12349,19,1,1661.07,0.6931471805599453,7.415819092458663,1,Occasional,1,3
12350,310,1,334.4,0.6931471805599453,5.815323849389109,2,At-Risk,2,2
12352,36,8,2256.53,2.1972245773362196,7.722026574239387,3,Regular,3,1
12353,204,1,89.0,0.6931471805599453,4.499809670330265,2,At-Risk,2,2
12354,232,1,1079.4,0.6931471805599453,6.985086621918461,2,At-Risk,2,2
12355,214,1,459.4,0.6931471805599453,6.132095676847728,2,At-Risk,2,2
12356,23,3,2690.95,1.3862943611198906,7.898021117040865,1,Regular,1,0
12357,33,1,6173.59,0.6931471805599453,8.728197762530682,1,High-Value,1,0
12358,2,2,1168.06,1.0986122886681098,7.063955286074528,1,Occasional,1,0
12359,58,4,6137.07,1.6094379124341003,8.722265639480895,1,High-Value,1,0
12360,52,3,2662.06,1.3862943611198906,7.887231116540211,1,Regular,1,0
12361,287,1,189.9,0.6931471805599453,5.251749730731702,2,At-Risk,2,2
12362,3,10,5226.23,2.3978952727983707,8.56163678004062,3,High-Value,3,1
12363,110,2,552.0,1.0986122886681098,6.315358001522335,0,At-Risk,0,0
12364,8,4,1313.1,1.6094379124341003,7.180907299649593,1,Regular,1,0
12365,291,2,524.21,1.0986122886681098,6.263798182612951,2,At-Risk,2,2
12367,4,1,168.9,0.6931471805599453,5.135210028677887,0,Occasional,0,3
12370,51,4,3541.94,1.6094379124341003,8.172712169921061,1,High-Value,1,0
12371,45,2,1731.48,1.0986122886681098,7.457309186985881,1,Occasional,1,0
12372,72,3,1298.04,1.3862943611198906,7.169380809114136,1,Regular,1,0
12373,311,1,364.6,0.6931471805599453,5.901539839579995,2,At-Risk,2,2
12374,25,1,742.9300000000001,0.6931471805599453,6.6119469443852195,0,Occasional,0,3
12375,11,2,457.5,1.0986122886681098,6.127960291696519,0,Occasional,0,0
12377,315,2,1628.12,1.0986122886681098,7.395795270713971,2,At-Risk,2,2
12378,130,1,4008.62,0.6931471805599453,8.29645175271804,1,High-Value,1,0
12379,82,2,852.24,1.0986122886681098,6.749040867823617,1,Occasional,1,0
12380,22,4,2724.81,1.6094379124341003,7.910520910634419,1,Regular,1,0
12381,5,5,1808.83,1.791759469228055,7.500988197196929,1,Regular,1,0
12383,185,5,1850.56,1.791759469228055,7.523783805985769,1,At-Risk,1,0
12384,29,2,585.27,1.0986122886681098,6.373780434317173,0,Occasional,0,0
12386,338,2,401.9,1.0986122886681098,5.998688392197302,2,At-Risk,2,2
12388,16,6,2780.66,1.9459101490553132,7.930803150780256,1,Regular,1,0
12390,80,1,549.84,0.6931471805599453,6.311444385858925,0,Occasional,0,3
12391,22,1,439.66,0.6931471805599453,6.0882736030360425,0,Occasional,0,3
12393,72,4,1582.6000000000001,1.6094379124341003,7.3674560152319755,1,Regular,1,0
12394,64,2,1209.76,1.0986122886681098,7.099003540592612,1,Occasional,1,0
12395,19,12,3018.63,2.5649493574615367,8.012889586306857,3,Regular,3,1
12397,36,2,2409.9,1.0986122886681098,7.7877554007552545,1,Occasional,1,0
12398,46,1,1635.6599999999999,0.6931471805599453,7.4004128587924045,1,Occasional,1,3
12399,119,4,1108.65,1.6094379124341003,7.011799929268738,1,At-Risk,1,0
12401,303,1,84.3,0.6931471805599453,4.446174454497633,2,At-Risk,2,2
12402,323,1,225.6,0.6931471805599453,5.423186348593906,2,At-Risk,2,2
12403,50,1,427.7,0.6931471805599453,6.0607573736039315,0,Occasional,0,3
12405,149,1,1593.91,0.6931471805599453,7.374572587294631,0,At-Risk,0,0
12406,22,2,3415.3,1.0986122886681098,8.136313373066384,1,High-Value,1,0
12407,50,5,1708.1200000000001,1.791759469228055,7.4437338971514055,1,Regular,1,0
12408,33,5,2888.55,1.791759469228055,7.968856059639959,1,Regular,1,0
12409,79,3,10709.93,1.3862943611198906,9.27901999440577,1,High-Value,1,0
12410,309,2,693.3299999999999,1.0986122886681098,6.542947351813216,2,At-Risk,2,2
12412,75,3,1226.88,1.3862943611198906,7.1130443840624835,1,Regular,1,0
12413,67,3,758.1,1.3862943611198906,6.632133521022722,1,Regular,1,0
12414,217,3,562.41,1.3862943611198906,6.334007604663525,2,At-Risk,2,0
12415,24,21,88865.83,3.091042453358316,11.394894236016437,3,High-Value,3,1
12417,3,9,3649.1,2.302585092994046,8.202509843461513,3,High-Value,3,1
12418,113,1,668.58,0.6931471805599453,6.506650650150935,0,At-Risk,0,3
12420,64,1,600.39,0.6931471805599453,6.3992436425478765,0,Occasional,0,3
12421,16,4,807.04,1.6094379124341003,6.694611562246261,1,Regular,1,0
12422,96,3,803.5600000000001,1.3862943611198906,6.690295544136225,1,Regular,1,0
12423,1,8,1859.31,2.1972245773362196,7.528498419486568,1,Regular,1,0
12424,163,2,1658.48,1.0986122886681098,7.414259579264567,1,At-Risk,1,0
12425,78,1,777.2,0.6931471805599453,6.6569835605504535,0,Occasional,0,3
12426,195,1,582.73,0.6931471805599453,6.369438547154207,2,At-Risk,2,2
12427,22,3,825.8,1.3862943611198906,6.717562827807613,1,Regular,1,0
12428,26,9,7412.3,2.302585092994046,8.911030963283423,3,High-Value,3,1
12429,9,4,3750.4,1.6094379124341003,8.22988438262624,1,High-Value,1,0
12430,43,1,256.4,0.6931471805599453,5.5506312951620265,0,Occasional,0,3
12431,36,15,5802.67,2.772588722239781,8.666245755047873,3,High-Value,3,1
12432,43,5,4494.68,1.791759469228055,8.410872214663287,1,High-Value,1,1
12433,1,7,13375.87,2.0794415416798357,9.50128237507538,3,High-Value,3,1
12434,85,2,806.14,1.0986122886681098,6.6934971352559,0,Occasional,0,0
12435,80,2,5689.18,1.0986122886681098,8.646497161066415,1,High-Value,1,0
12436,100,1,509.01,0.6931471805599453,6.234430333369278,0,Occasional,0,3
12437,2,18,4951.41,2.9444389791664403,8.507629605767502,3,High-Value,3,1
12438,14,2,2790.37,1.0986122886681098,7.934287793721527,1,Occasional,1,0
12441,367,1,173.55,0.6931471805599453,5.162211233551045,2,At-Risk,2,2
12442,3,1,172.06,0.6931471805599453,5.153638355178593,0,Occasional,0,3
12444,21,5,4776.02,1.791759469228055,8.47157220010927,1,High-Value,1,1
12445,22,1,133.4,0.6931471805599453,4.900820428089049,0,Occasional,0,3
12446,58,1,1002.3100000000001,0.6931471805599453,6.9110598129904375,0,Occasional,0,3
12447,243,1,476.49,0.6931471805599453,6.168543217293113,2,At-Risk,2,2
12448,44,1,449.45,0.6931471805599453,6.110247083097449,0,Occasional,0,3
12449,22,4,4067.29,1.6094379124341003,8.310978042729836,1,High-Value,1,0
12450,156,2,197.88,1.0986122886681098,5.292701627762401,0,At-Risk,0,3
12451,11,5,8994.24,1.791759469228055,9.104450827518406,3,High-Value,3,1
12452,17,2,430.57,1.0986122886681098,6.067429722163682,0,Occasional,0,3
12453,134,1,707.09,0.6931471805599453,6.562571204258897,0,At-Risk,0,3
12454,56,1,2637.1600000000003,0.6931471805599453,7.877836983447099,1,Occasional,1,0
12455,73,6,2466.86,1.9459101490553132,7.81110665732229,1,Regular,1,0
12456,44,3,3104.56,1.3862943611198906,8.040949332373014,1,Regular,1,0
12457,66,7,2363.23,2.0794415416798357,7.768207666517555,1,Regular,1,0
12458,71,2,947.4,1.0986122886681098,6.854776354191251,1,Occasional,1,0
12461,94,2,826.88,1.0986122886681098,6.718868216346018,0,Occasional,0,0
12462,19,2,1189.59,1.0986122886681098,7.082204261557526,1,Occasional,1,0
12463,53,4,1344.78,1.6094379124341003,7.204729049594601,1,Regular,1,0
12464,10,8,1212.05,2.1972245773362196,7.100893128209941,1,Regular,1,0
12465,17,2,742.1899999999999,1.0986122886681098,6.610951732080795,0,Occasional,0,0
12468,188,2,729.5400000000001,1.0986122886681098,6.593783986707386,2,At-Risk,2,0
12471,2,30,16930.81,3.4339872044851463,9.736949380221843,3,High-Value,3,1
12472,32,7,6572.11,2.0794415416798357,8.790742363252102,3,High-Value,3,1
12473,29,5,3361.69,1.791759469228055,8.120496527889923,1,High-Value,1,0
12474,17,18,7324.09,2.9444389791664403,8.899060720499207,3,High-Value,3,1
12475,54,1,723.38,0.6931471805599453,6.585316116572351,0,Occasional,0,3
12476,16,11,6816.42,2.4849066497880004,8.82723638014411,3,High-Value,3,1
12477,23,6,12609.58,1.9459101490553132,9.442291423143088,3,High-Value,3,1
12478,4,1,680.99,0.6931471805599453,6.525014994979364,0,Occasional,0,3
12479,11,1,527.2,0.6931471805599453,6.269474999863032,0,Occasional,0,3
12480,28,4,3168.35,1.6094379124341003,8.061281798527638,1,High-Value,1,0
12481,23,10,5579.82,2.3978952727983707,8.62709099798378,3,High-Value,3,1
12483,17,8,2484.98,2.1972245773362196,7.818422226986002,3,Regular,3,1
